Artist_Group,Artist,Title,QR_Code,Released,Record_Case
"Alan Price","Alan Price","England My England",https://www.discogs.com/release/2221243,1979,"7"" - Archive 01"
"Alan Price","Alan Price","In Times Like These",https://www.discogs.com/release/2221055,1974,"7"" - Archive 01"
"Alan Price","Alan Price","Jarrow Song",https://www.discogs.com/release/1520028,1974,"7"" - Archive 01"
"Alan Price","Alan Price","Just For You",https://www.discogs.com/release/25441609,1978,"7"" - Archive 01"
"Alan Price Set","Alan Price Set","Don't Stop The Carnival",https://www.discogs.com/release/1426587,1968,"7"" - Archive 01"
"Alan Price Set","Alan Price Set","Hi-Lili, Hi-Lo",https://www.discogs.com/release/12652475,1966,"7"" - Archive 01"
"Alan Williams","Alan Williams","Doing Things With You",https://www.discogs.com/release/3290321,1980,"7"" - Archive 01"
"Alannah Myles","Alannah Myles","Black Velvet",https://www.discogs.com/release/1482455,1990,"7"" - Playlist - 01"
Alarm,Alarm,"Rescue Me",https://www.discogs.com/release/1729875,1987,"7"" - Archive 01"
Alarm,Alarm,"Sixty Eight Guns",https://www.discogs.com/release/417294,1983,"7"" - Playlist - 01"
Alarm,Alarm,"Spirit Of '76",https://www.discogs.com/release/908884,1986,"7"" - Playlist - 01"
"Albert Hammond","Albert Hammond","It Never Rains In Southern California",https://www.discogs.com/release/6005111,1975,"7"" - Retro - 01"
"Albert Hammond","Albert Hammond","The Free Electric Band",https://www.discogs.com/release/4414534,1973,"7"" - Retro - 01"
"Alberto Y Lost Trios Paranoias","Alberto Y Lost Trios Paranoias","Heads Down No Nonsense Mindless Boogie",https://www.discogs.com/release/3092055,1978,"7"" - Novelty"
"Aled Jones","Aled Jones","Walking In The Air",https://www.discogs.com/release/637152,1985,"7"" - Holiday"
Alessi,Alessi,"Oh, Lori",https://www.discogs.com/release/15217779,1977,"7"" - Archive 01"
"Alex Glasgow","Alex Glasgow","Dance Ti Thi Daddy (When The Boat Comes In)",https://www.discogs.com/release/4833982,1980,"7"" - Archive 01"
"Alexander O'Neal","Alexander O'Neal","(What Can I Say) To Make You Love Me (Edit)",https://www.discogs.com/release/602407,1988,"7"" - Archive 01"
"Alexander O'Neal","Alexander O'Neal","All True Man",https://www.discogs.com/release/2145187,1991,"7"" - Archive 01"
"Alexander O'Neal","Alexander O'Neal",Criticize,https://www.discogs.com/release/147823,1987,"7"" - Archive 01"
"Alexander O'Neal","Alexander O'Neal","Hitmix (The Official Bootleg Megamix)",https://www.discogs.com/release/649456,1989,"7"" - Archive 01"
"Alexander O'Neal","Alexander O'Neal","If You Were Here Tonight",https://www.discogs.com/release/255827,1985,"7"" - Playlist - 01"
"Alexander O'Neal ","Alexander O'Neal Featuring Cherrelle","Never Knew Love Like This",https://www.discogs.com/release/1201908,1987,"7"" - Playlist - 01"
"Alexei Sayle","Alexei Sayle","'Ullo John! Gotta New Motor?",https://www.discogs.com/release/13191245,1984,"7"" - Novelty"
"Alice Cooper","Alice Cooper","Elected ",https://www.discogs.com/release/5429323,1972,"7"" - Playlist - 01"
"Alice Cooper","Alice Cooper","Hello Hooray / No More Mr. Nice Guy",https://www.discogs.com/release/5761320,1973,"7"" - Archive 01"
"Alice Cooper","Alice Cooper","Hello Hurray",https://www.discogs.com/release/12219178,1973,"7"" - Archive 01"
"Alice Cooper","Alice Cooper","School's Out / Gutter Cat",https://www.discogs.com/release/385853,1972,"7"" - Playlist - 01"
"Alice Cooper","Alice Cooper","Teenage Lament '74",https://www.discogs.com/release/5397272,1973,"7"" - Archive 01"
